 Distribution of neutrino fluxes in the BS05(AGS,OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(AGS,OP) are given in the row below.
 
 6.058E+00 1.453E-02 8.254E-07 4.338E-01 4.508E-04 2.007E-02 1.445E-02 3.254E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
  cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
  [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.01311 15.420 2.008 2.301e-05 1.534e-11 1.491e-04 1.689e-03 1.014e-03 1.407e-03 1.548e-03 7.078e-04 2.312e-04 6.497e-05 
 0.01352 15.417 2.007 2.442e-05 1.532e-11 1.583e-04 1.785e-03 1.071e-03 1.487e-03 1.636e-03 7.497e-04 2.453e-04 6.905e-05 
 0.01393 15.413 2.007 2.588e-05 1.529e-11 1.677e-04 1.882e-03 1.130e-03 1.568e-03 1.725e-03 7.926e-04 2.598e-04 7.325e-05 
 0.01434 15.409 2.007 2.738e-05 1.526e-11 1.775e-04 1.981e-03 1.190e-03 1.651e-03 1.816e-03 8.365e-04 2.747e-04 7.758e-05 
 0.01475 15.405 2.007 2.892e-05 1.523e-11 1.874e-04 2.081e-03 1.251e-03 1.735e-03 1.908e-03 8.813e-04 2.900e-04 8.204e-05 
 0.01516 15.402 2.006 3.050e-05 1.520e-11 1.977e-04 2.183e-03 1.312e-03 1.821e-03 2.002e-03 9.270e-04 3.056e-04 8.663e-05 
 0.01557 15.397 2.006 3.212e-05 1.516e-11 2.081e-04 2.287e-03 1.375e-03 1.908e-03 2.097e-03 9.736e-04 3.216e-04 9.134e-05 
 0.01598 15.393 2.006 3.377e-05 1.513e-11 2.189e-04 2.391e-03 1.438e-03 1.996e-03 2.193e-03 1.021e-03 3.380e-04 9.618e-05 
 0.01639 15.389 2.005 3.547e-05 1.510e-11 2.299e-04 2.497e-03 1.502e-03 2.085e-03 2.290e-03 1.069e-03 3.548e-04 1.011e-04 
 0.01680 15.385 2.005 3.721e-05 1.506e-11 2.411e-04 2.603e-03 1.567e-03 2.175e-03 2.388e-03 1.119e-03 3.719e-04 1.062e-04 
 0.01721 15.380 2.005 3.898e-05 1.503e-11 2.526e-04 2.711e-03 1.633e-03 2.266e-03 2.488e-03 1.168e-03 3.894e-04 1.115e-04 
 0.01762 15.376 2.004 4.079e-05 1.499e-11 2.644e-04 2.819e-03 1.699e-03 2.357e-03 2.587e-03 1.219e-03 4.072e-04 1.168e-04 
 0.01803 15.371 2.004 4.265e-05 1.496e-11 2.763e-04 2.929e-03 1.765e-03 2.450e-03 2.688e-03 1.271e-03 4.254e-04 1.223e-04 
 0.01844 15.366 2.004 4.454e-05 1.492e-11 2.886e-04 3.038e-03 1.832e-03 2.543e-03 2.789e-03 1.323e-03 4.439e-04 1.279e-04 
 0.01885 15.361 2.003 4.646e-05 1.488e-11 3.011e-04 3.149e-03 1.900e-03 2.637e-03 2.891e-03 1.375e-03 4.628e-04 1.336e-04 
 0.01926 15.356 2.003 4.843e-05 1.484e-11 3.138e-04 3.259e-03 1.968e-03 2.731e-03 2.993e-03 1.429e-03 4.820e-04 1.395e-04 
 0.01967 15.351 2.003 5.043e-05 1.480e-11 3.267e-04 3.371e-03 2.036e-03 2.825e-03 3.096e-03 1.483e-03 5.015e-04 1.454e-04 
 0.02008 15.346 2.002 5.247e-05 1.476e-11 3.399e-04 3.482e-03 2.104e-03 2.920e-03 3.199e-03 1.537e-03 5.214e-04 1.516e-04 
 0.02049 15.341 2.002 5.454e-05 1.472e-11 3.533e-04 3.593e-03 2.173e-03 3.015e-03 3.302e-03 1.593e-03 5.416e-04 1.578e-04 
 0.02090 15.335 2.002 5.666e-05 1.467e-11 3.670e-04 3.705e-03 2.241e-03 3.111e-03 3.405e-03 1.648e-03 5.620e-04 1.642e-04 
 0.02131 15.330 2.001 5.880e-05 1.463e-11 3.809e-04 3.816e-03 2.310e-03 3.206e-03 3.508e-03 1.705e-03 5.828e-04 1.707e-04 
 0.02172 15.324 2.001 6.099e-05 1.459e-11 3.950e-04 3.927e-03 2.379e-03 3.301e-03 3.611e-03 1.761e-03 6.040e-04 1.773e-04 
 0.02213 15.319 2.000 6.321e-05 1.454e-11 4.093e-04 4.038e-03 2.448e-03 3.397e-03 3.713e-03 1.818e-03 6.254e-04 1.840e-04 
 0.02254 15.313 2.000 6.546e-05 1.450e-11 4.239e-04 4.149e-03 2.516e-03 3.492e-03 3.816e-03 1.876e-03 6.471e-04 1.909e-04 
 0.02295 15.307 2.000 6.775e-05 1.445e-11 4.387e-04 4.259e-03 2.585e-03 3.587e-03 3.918e-03 1.934e-03 6.690e-04 1.979e-04 
 0.02336 15.301 1.999 7.007e-05 1.440e-11 4.537e-04 4.368e-03 2.653e-03 3.682e-03 4.020e-03 1.992e-03 6.913e-04 2.051e-04 
 0.02377 15.295 1.999 7.243e-05 1.436e-11 4.689e-04 4.477e-03 2.721e-03 3.776e-03 4.121e-03 2.050e-03 7.139e-04 2.123e-04 
 0.02418 15.289 1.998 7.482e-05 1.431e-11 4.843e-04 4.585e-03 2.788e-03 3.870e-03 4.221e-03 2.109e-03 7.367e-04 2.197e-04 
 0.02459 15.282 1.998 7.725e-05 1.426e-11 4.999e-04 4.692e-03 2.856e-03 3.963e-03 4.321e-03 2.168e-03 7.598e-04 2.272e-04 
 0.02500 15.276 1.997 7.971e-05 1.421e-11 5.158e-04 4.798e-03 2.923e-03 4.056e-03 4.420e-03 2.228e-03 7.831e-04 2.349e-04 
 0.02541 15.270 1.997 8.220e-05 1.416e-11 5.318e-04 4.903e-03 2.989e-03 4.148e-03 4.518e-03 2.287e-03 8.068e-04 2.427e-04 
 0.02582 15.263 1.997 8.473e-05 1.411e-11 5.481e-04 5.007e-03 3.055e-03 4.240e-03 4.616e-03 2.347e-03 8.306e-04 2.506e-04 
 0.02623 15.256 1.996 8.729e-05 1.405e-11 5.645e-04 5.110e-03 3.120e-03 4.330e-03 4.712e-03 2.407e-03 8.547e-04 2.586e-04 
 0.02664 15.250 1.996 8.988e-05 1.400e-11 5.812e-04 5.212e-03 3.185e-03 4.420e-03 4.807e-03 2.466e-03 8.791e-04 2.668e-04 
 0.02705 15.243 1.995 9.250e-05 1.395e-11 5.980e-04 5.312e-03 3.249e-03 4.509e-03 4.901e-03 2.526e-03 9.036e-04 2.750e-04 
 0.02746 15.236 1.995 9.515e-05 1.389e-11 6.150e-04 5.410e-03 3.312e-03 4.597e-03 4.994e-03 2.586e-03 9.284e-04 2.835e-04 
 0.02787 15.229 1.994 9.783e-05 1.384e-11 6.323e-04 5.507e-03 3.375e-03 4.683e-03 5.085e-03 2.646e-03 9.535e-04 2.920e-04 
 0.02828 15.222 1.994 1.006e-04 1.378e-11 6.497e-04 5.603e-03 3.436e-03 4.769e-03 5.176e-03 2.706e-03 9.787e-04 3.007e-04 
 0.02869 15.214 1.993 1.033e-04 1.373e-11 6.672e-04 5.697e-03 3.497e-03 4.853e-03 5.264e-03 2.766e-03 1.004e-03 3.095e-04 
 0.02910 15.207 1.993 1.061e-04 1.367e-11 6.850e-04 5.789e-03 3.557e-03 4.937e-03 5.351e-03 2.826e-03 1.030e-03 3.184e-04 
 0.02951 15.200 1.992 1.089e-04 1.361e-11 7.029e-04 5.879e-03 3.616e-03 5.019e-03 5.437e-03 2.885e-03 1.056e-03 3.274e-04 
 0.02992 15.192 1.992 1.117e-04 1.355e-11 7.210e-04 5.967e-03 3.674e-03 5.099e-03 5.521e-03 2.945e-03 1.082e-03 3.366e-04 
 0.03033 15.185 1.991 1.146e-04 1.349e-11 7.393e-04 6.054e-03 3.732e-03 5.179e-03 5.603e-03 3.004e-03 1.108e-03 3.459e-04 
 0.03074 15.177 1.990 1.175e-04 1.343e-11 7.578e-04 6.138e-03 3.788e-03 5.256e-03 5.684e-03 3.063e-03 1.134e-03 3.553e-04 
