# Distribution of neutrino fluxes in the B16(AGSS09met) standard solar model model.
# 
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2)) 

0.0125 15.389 2.001  2.54747702e-05  3.29597063e-01  5.12090082e-01  1.42350558e-01  1.56599408e+00  3.75016893e+00  2.22205445e+00  3.15642533e+00  3.44607628e+00  
0.0130 15.385 2.000  2.74970862e-05  3.55768497e-01  5.52423468e-01  1.53858296e-01  1.68589481e+00  4.02575983e+00  2.38600753e+00  3.38932081e+00  3.69957983e+00  
0.0135 15.380 2.000  2.95688806e-05  3.82580325e-01  5.93688948e-01  1.65681830e-01  1.80799357e+00  4.30449283e+00  2.55195182e+00  3.62504459e+00  3.95602606e+00  
0.0140 15.376 2.000  3.17214472e-05  4.10437438e-01  6.36509891e-01  1.77999218e-01  1.93413682e+00  4.59062201e+00  2.72242225e+00  3.86719804e+00  4.21933376e+00  
0.0145 15.371 1.999  3.39527214e-05  4.39312753e-01  6.80838472e-01  1.90802723e-01  2.06412248e+00  4.88349103e+00  2.89704097e+00  4.11524398e+00  4.48890470e+00  
0.0150 15.367 1.999  3.62704741e-05  4.69304956e-01  7.26821382e-01  2.04139458e-01  2.19833755e+00  5.18383457e+00  3.07626066e+00  4.36982600e+00  4.76542623e+00  
0.0155 15.362 1.999  3.86227002e-05  4.99743089e-01  7.73413622e-01  2.17720398e-01  2.33355228e+00  5.48387005e+00  3.25547564e+00  4.62440087e+00  5.04175013e+00  
0.0160 15.357 1.998  4.10702160e-05  5.31410098e-01  8.21821823e-01  2.31891649e-01  2.47337667e+00  5.79194360e+00  3.43964703e+00  4.88601702e+00  5.32554865e+00  
0.0165 15.352 1.998  4.36110895e-05  5.64284964e-01  8.72005946e-01  2.46645994e-01  2.61758775e+00  6.10732417e+00  3.62836886e+00  5.15409639e+00  5.61617640e+00  
0.0170 15.346 1.998  4.61699638e-05  5.97388419e-01  9.22446484e-01  2.61561423e-01  2.76158153e+00  6.41910119e+00  3.81516825e+00  5.41944552e+00  5.90360041e+00  
0.0175 15.341 1.997  4.88137121e-05  6.31585440e-01  9.74474203e-01  2.77019605e-01  2.90929778e+00  6.73632186e+00  4.00543146e+00  5.68971532e+00  6.19614663e+00  
0.0180 15.335 1.997  5.15588254e-05  6.67092194e-01  1.02841504e+00  2.93118424e-01  3.06161483e+00  7.06081605e+00  4.20026843e+00  5.96648160e+00  6.49551335e+00  
0.0185 15.329 1.996  5.43845454e-05  7.03633902e-01  1.08383705e+00  3.09744487e-01  3.21718947e+00  7.38927328e+00  4.39772955e+00  6.24697618e+00  6.79866908e+00  
0.0190 15.324 1.996  5.71651617e-05  7.39584954e-01  1.13823107e+00  3.26185489e-01  3.36852091e+00  7.70435153e+00  4.58750075e+00  6.51654692e+00  7.08965728e+00  
0.0195 15.317 1.996  6.00971798e-05  7.77489241e-01  1.19550832e+00  3.43563844e-01  3.52713444e+00  8.03235163e+00  4.78525781e+00  6.79746165e+00  7.39269767e+00  
0.0200 15.311 1.995  6.31457951e-05  8.16893979e-01  1.25496138e+00  3.61686924e-01  3.69083210e+00  8.36796939e+00  4.98787534e+00  7.08528170e+00  7.70293673e+00  
0.0205 15.305 1.995  6.61691884e-05  8.55958565e-01  1.31375473e+00  3.79747275e-01  3.85122933e+00  8.69202855e+00  5.18393245e+00  7.36378165e+00  8.00272033e+00  
0.0210 15.298 1.994  6.93284237e-05  8.96768397e-01  1.37508483e+00  3.98671517e-01  4.01764370e+00  9.02548989e+00  5.38593703e+00  7.65073075e+00  8.31134917e+00  
0.0215 15.292 1.994  7.24981801e-05  9.37704495e-01  1.43645955e+00  4.17744588e-01  4.18269188e+00  9.35155884e+00  5.58388988e+00  7.93192486e+00  8.61337608e+00  
0.0220 15.285 1.993  7.57521630e-05  9.79712934e-01  1.49932330e+00  4.37392883e-01  4.35054974e+00  9.67949253e+00  5.78334203e+00  8.21524808e+00  8.91735327e+00  
0.0225 15.278 1.993  7.90349659e-05  1.02207721e+00  1.56257190e+00  4.57300680e-01  4.51793736e+00  1.00018517e+01  5.97986699e+00  8.49441392e+00  9.21644329e+00  
0.0230 15.271 1.992  8.24113158e-05  1.06563412e+00  1.62747803e+00  4.77846340e-01  4.68847791e+00  1.03265536e+01  6.17820192e+00  8.77615107e+00  9.51793527e+00  
0.0235 15.263 1.992  8.58952117e-05  1.11056154e+00  1.69430384e+00  4.99116329e-01  4.86283665e+00  1.06548649e+01  6.37912878e+00  9.06157020e+00  9.82301272e+00  
0.0240 15.256 1.991  8.93763208e-05  1.15542823e+00  1.76085698e+00  5.20474160e-01  5.03465869e+00  1.09727211e+01  6.57424331e+00  9.33873304e+00  1.01187203e+01  
0.0245 15.248 1.991  9.29839152e-05  1.20190451e+00  1.82967750e+00  5.42674042e-01  5.21114303e+00  1.12957445e+01  6.77293627e+00  9.62098004e+00  1.04195072e+01  
0.0250 15.241 1.990  9.65994986e-05  1.24846181e+00  1.89842834e+00  5.65030843e-01  5.38553233e+00  1.16091267e+01  6.96634124e+00  9.89571539e+00  1.07117151e+01  
0.0255 15.233 1.990  1.00194069e-04  1.29471052e+00  1.96651430e+00  5.87375308e-01  5.55616566e+00  1.19093131e+01  7.15233201e+00  1.01599182e+01  1.09920728e+01  
0.0260 15.225 1.989  1.04067032e-04  1.34452868e+00  2.03981751e+00  6.11467101e-01  5.73954526e+00  1.22315460e+01  7.35208921e+00  1.04436775e+01  1.12931212e+01  
0.0265 15.217 1.988  1.07758402e-04  1.39196326e+00  2.10929191e+00  6.34610467e-01  5.91011155e+00  1.25211227e+01  7.53275938e+00  1.07003239e+01  1.15643654e+01  
0.0270 15.208 1.988  1.11527355e-04  1.44036315e+00  2.18001755e+00  6.58329655e-01  6.08216797e+00  1.28085913e+01  7.71268530e+00  1.09559128e+01  1.18339861e+01  
0.0275 15.200 1.987  1.15674004e-04  1.49360015e+00  2.25783885e+00  6.84401249e-01  6.27184418e+00  1.31275992e+01  7.91222197e+00  1.12393605e+01  1.21331951e+01  
0.0280 15.191 1.987  1.19458164e-04  1.54211061e+00  2.32828169e+00  7.08457175e-01  6.43882835e+00  1.33935476e+01  8.08036986e+00  1.14782190e+01  1.23837534e+01  
0.0285 15.183 1.986  1.23452948e-04  1.59328937e+00  2.40252430e+00  7.33886768e-01  6.61417107e+00  1.36714506e+01  8.25632117e+00  1.17281634e+01  1.26457633e+01  
0.0290 15.174 1.985  1.27717096e-04  1.64790099e+00  2.48169748e+00  7.61050325e-01  6.80073252e+00  1.39667977e+01  8.44344837e+00  1.19939839e+01  1.29243482e+01  
0.0295 15.165 1.985  1.32040892e-04  1.70321490e+00  2.56166868e+00  7.88710065e-01  6.98709919e+00  1.42558155e+01  8.62741644e+00  1.22553164e+01  1.31975388e+01  
0.0300 15.156 1.984  1.35642666e-04  1.74915811e+00  2.62729884e+00  8.12187772e-01  7.13205288e+00  1.44549292e+01  8.75759997e+00  1.24402486e+01  1.33879272e+01  
0.0305 15.147 1.984  1.40438831e-04  1.81044860e+00  2.71572719e+00  8.42952227e-01  7.33650134e+00  1.47688703e+01  8.95801792e+00  1.27249509e+01  1.36851341e+01  
0.0310 15.137 1.983  1.44346908e-04  1.86021376e+00  2.78658929e+00  8.68530693e-01  7.49096781e+00  1.49763602e+01  9.09457760e+00  1.29189415e+01  1.38842115e+01  
0.0315 15.128 1.982  1.48832900e-04  1.91735554e+00  2.86823840e+00  8.97724922e-01  7.67203412e+00  1.52313970e+01  9.26066765e+00  1.31548800e+01  1.41278157e+01  
0.0320 15.118 1.982  1.53037137e-04  1.97078937e+00  2.94406146e+00  9.25362769e-01  7.83497325e+00  1.54447239e+01  9.40213232e+00  1.33558402e+01  1.43332925e+01  
0.0325 15.108 1.981  1.57600065e-04  2.02876831e+00  3.02639196e+00  9.55314714e-01  8.01266159e+00  1.56813706e+01  9.55850301e+00  1.35779737e+01  1.45609187e+01  
0.0330 15.098 1.980  1.62279321e-04  2.08815167e+00  3.11051671e+00  9.86123770e-01  8.19239787e+00  1.59160516e+01  9.71444457e+00  1.37994997e+01  1.47872907e+01  
0.0335 15.088 1.979  1.66686033e-04  2.14393445e+00  3.18897669e+00  1.01542774e+00  8.35453369e+00  1.61107812e+01  9.84673990e+00  1.39874349e+01  1.49770801e+01  
0.0340 15.078 1.979  1.71572261e-04  2.20578283e+00  3.27615266e+00  1.04780680e+00  8.53680790e+00  1.63384799e+01  9.99994862e+00  1.42050796e+01  1.51980874e+01  
0.0345 15.068 1.978  1.75744397e-04  2.25835751e+00  3.34924678e+00  1.07597505e+00  8.67963878e+00  1.64851693e+01  1.01042977e+01  1.43533185e+01  1.53442537e+01  
0.0350 15.057 1.977  1.80713047e-04  2.32106157e+00  3.43705793e+00  1.10917064e+00  8.85794546e+00  1.66935959e+01  1.02472237e+01  1.45563568e+01  1.55484184e+01  
0.0355 15.047 1.976  1.85326120e-04  2.37907857e+00  3.51760005e+00  1.14034213e+00  9.01468188e+00  1.68556961e+01  1.03624874e+01  1.47201019e+01  1.57100168e+01  
0.0360 15.036 1.976  1.90051098e-04  2.43841615e+00  3.59977444e+00  1.17235462e+00  9.17282579e+00  1.70149444e+01  1.04767549e+01  1.48824333e+01  1.58695269e+01  
0.0365 15.025 1.975  1.94148655e-04  2.48958039e+00  3.66957410e+00  1.20064164e+00  9.29682621e+00  1.71058766e+01  1.05496579e+01  1.49860076e+01  1.59658520e+01  
0.0370 15.015 1.974  2.00010079e-04  2.56322719e+00  3.77216078e+00  1.23999345e+00  9.50101498e+00  1.73384493e+01  1.07107266e+01  1.52148246e+01  1.61949855e+01  
0.0375 15.003 1.973  2.04901909e-04  2.62426161e+00  3.85575812e+00  1.27349020e+00  9.65427331e+00  1.74723043e+01  1.08117410e+01  1.53583276e+01  1.63327117e+01  
0.0380 14.992 1.973  2.09297665e-04  2.67883463e+00  3.92958701e+00  1.30407321e+00  9.78022017e+00  1.75518529e+01  1.08798288e+01  1.54550617e+01  1.64201639e+01  
0.0385 14.981 1.972  2.14606363e-04  2.74495453e+00  4.02001373e+00  1.34049914e+00  9.94461467e+00  1.76951351e+01  1.09881844e+01  1.56089981e+01  1.65678203e+01  
0.0390 14.970 1.971  2.18707239e-04  2.79546430e+00  4.08723202e+00  1.36952920e+00  1.00488414e+01  1.77267635e+01  1.10279022e+01  1.56654347e+01  1.66114851e+01  
0.0395 14.958 1.970  2.24416945e-04  2.86637580e+00  4.18392396e+00  1.40878504e+00  1.02227109e+01  1.78759918e+01  1.11415223e+01  1.58268519e+01  1.67658874e+01  
0.0400 14.946 1.969  2.29662735e-04  2.93115266e+00  4.27124351e+00  1.44528769e+00  1.03705364e+01  1.79744484e+01  1.12244025e+01  1.59446035e+01  1.68734842e+01  
0.0405 14.935 1.969  2.34584659e-04  2.99162086e+00  4.35191266e+00  1.47990966e+00  1.04992572e+01  1.80350773e+01  1.12843938e+01  1.60298427e+01  1.69461574e+01  
0.0410 14.923 1.968  2.40687834e-04  3.06695412e+00  4.45380770e+00  1.52215036e+00  1.06760180e+01  1.81729146e+01  1.13935099e+01  1.61848637e+01  1.70920090e+01  
0.0415 14.911 1.967  2.45028525e-04  3.11962229e+00  4.52239762e+00  1.55340287e+00  1.07699582e+01  1.81656096e+01  1.14123075e+01  1.62115881e+01  1.71019162e+01  
0.0420 14.899 1.966  2.50809913e-04  3.19044031e+00  4.61693015e+00  1.59394151e+00  1.09227986e+01  1.82529525e+01  1.14912184e+01  1.63237040e+01  1.72013497e+01  
0.0425 14.886 1.965  2.54565093e-04  3.23527682e+00  4.67350362e+00  1.62174168e+00  1.09831511e+01  1.81823649e+01  1.14712874e+01  1.62954133e+01  1.71524617e+01  
0.0430 14.874 1.964  2.60558096e-04  3.30837358e+00  4.77054854e+00  1.66394030e+00  1.11358445e+01  1.82601429e+01  1.15456979e+01  1.64011398e+01  1.72441457e+01  
0.0435 14.862 1.963  2.66717136e-04  3.38332248e+00  4.86981336e+00  1.70736865e+00  1.12902993e+01  1.83360923e+01  1.16198120e+01  1.65064465e+01  1.73348807e+01  
0.0440 14.849 1.962  2.71309022e-04  3.43812730e+00  4.93967562e+00  1.74091613e+00  1.13736800e+01  1.82931285e+01  1.16191247e+01  1.65054948e+01  1.73136252e+01  
0.0445 14.836 1.962  2.77065963e-04  3.50748369e+00  5.03006316e+00  1.78208164e+00  1.15014285e+01  1.83175517e+01  1.16619402e+01  1.65663430e+01  1.73567618e+01  
0.0450 14.824 1.961  2.82399706e-04  3.57121025e+00  5.11195975e+00  1.82067588e+00  1.16067967e+01  1.83027392e+01  1.16803936e+01  1.65925842e+01  1.73632448e+01  
0.0455 14.811 1.960  2.86917551e-04  3.62436941e+00  5.17835663e+00  1.85414009e+00  1.16743570e+01  1.82254163e+01  1.16594390e+01  1.65628455e+01  1.73108222e+01  
0.0460 14.798 1.959  2.94613710e-04  3.71741897e+00  5.30129893e+00  1.90830780e+00  1.18660123e+01  1.83370164e+01  1.17601348e+01  1.67059207e+01  1.74384620e+01  
0.0465 14.785 1.958  2.97579449e-04  3.75045589e+00  5.33824148e+00  1.93195948e+00  1.18624948e+01  1.81455552e+01  1.16667626e+01  1.65733106e+01  1.72781896e+01  
0.0470 14.771 1.957  3.03927809e-04  3.82591963e+00  5.43523397e+00  1.97769560e+00  1.19898987e+01  1.81506257e+01  1.17003949e+01  1.66211188e+01  1.73055909e+01  
0.0475 14.758 1.956  3.10630567e-04  3.90550047e+00  5.53758508e+00  2.02589723e+00  1.21257543e+01  1.81649762e+01  1.17406811e+01  1.66783817e+01  1.73424737e+01  
0.0480 14.745 1.955  3.15686513e-04  3.96402967e+00  5.60963736e+00  2.06349520e+00  1.21923504e+01  1.80733401e+01  1.17128272e+01  1.66388480e+01  1.72784644e+01  
0.0485 14.731 1.954  3.19475716e-04  4.00639737e+00  5.65848436e+00  2.09291152e+00  1.22063282e+01  1.79022032e+01  1.16337238e+01  1.65265126e+01  1.71387078e+01  
0.0490 14.718 1.953  3.27184564e-04  4.09764396e+00  5.77594419e+00  2.14814897e+00  1.23652766e+01  1.79397121e+01  1.16908930e+01  1.66077638e+01  1.71992536e+01  
0.0495 14.704 1.952  3.33754695e-04  4.17418637e+00  5.87213971e+00  2.19606258e+00  1.24753104e+01  1.79039165e+01  1.17007686e+01  1.66218325e+01  1.71900206e+01  
0.0500 14.690 1.951  3.36817262e-04  4.20653266e+00  5.90578969e+00  2.22098545e+00  1.24502979e+01  1.76740169e+01  1.15837976e+01  1.64557061e+01  1.69944294e+01  
0.0505 14.676 1.950  3.43460153e-04  4.28334628e+00  6.00151169e+00  2.26963139e+00  1.25536385e+01  1.76232424e+01  1.15847362e+01  1.64570805e+01  1.69714561e+01  
0.0510 14.662 1.949  3.49042035e-04  4.34652768e+00  6.07767466e+00  2.31137997e+00  1.26132967e+01  1.75097562e+01  1.15447862e+01  1.64003720e+01  1.68885025e+01  
0.0515 14.648 1.948  3.54214601e-04  4.40425801e+00  6.14581198e+00  2.35051696e+00  1.26538678e+01  1.73684989e+01  1.14867936e+01  1.63180342e+01  1.67790666e+01  
0.0520 14.634 1.947  3.63724015e-04  4.51548627e+00  6.28805873e+00  2.41858590e+00  1.28434629e+01  1.74281375e+01  1.15623254e+01  1.64253814e+01  1.68642727e+01  
0.0525 14.620 1.946  3.64495732e-04  4.51778078e+00  6.27821087e+00  2.42860768e+00  1.27206784e+01  1.70666644e+01  1.13578402e+01  1.61349380e+01  1.65414971e+01  
0.0530 14.605 1.945  3.73328396e-04  4.61977370e+00  6.40656368e+00  2.49246053e+00  1.28752954e+01  1.70728793e+01  1.13988621e+01  1.61932626e+01  1.65757147e+01  
0.0535 14.591 1.944  3.75985517e-04  4.64485915e+00  6.42783141e+00  2.51513931e+00  1.28126912e+01  1.67929654e+01  1.12484900e+01  1.59796941e+01  1.63319713e+01  
0.0540 14.576 1.943  3.84194020e-04  4.73822037e+00  6.54318579e+00  2.57506626e+00  1.29349596e+01  1.67521113e+01  1.12588559e+01  1.59944726e+01  1.63212266e+01  
0.0545 14.562 1.942  3.91641515e-04  4.82160031e+00  6.64417932e+00  2.62999949e+00  1.30257674e+01  1.66701139e+01  1.12416438e+01  1.59700765e+01  1.62705837e+01  
