 Distribution of neutrino fluxes in the BS05(OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(OP) are given in the row below.
 
 5.991E+00 1.421E-02 7.930E-07 4.844E-01 5.691E-04 3.066E-02 2.331E-02 5.836E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.01311 15.611 2.009 2.338e-05 1.669e-11 1.474e-04 1.671e-03 1.083e-03 1.424e-03 1.558e-03 6.979e-04 2.307e-04 6.214e-05 
 0.01352 15.608 2.008 2.482e-05 1.666e-11 1.565e-04 1.766e-03 1.144e-03 1.505e-03 1.646e-03 7.393e-04 2.448e-04 6.606e-05 
 0.01393 15.604 2.008 2.630e-05 1.663e-11 1.658e-04 1.862e-03 1.207e-03 1.587e-03 1.736e-03 7.816e-04 2.593e-04 7.010e-05 
 0.01434 15.600 2.008 2.783e-05 1.660e-11 1.755e-04 1.960e-03 1.271e-03 1.671e-03 1.827e-03 8.250e-04 2.742e-04 7.426e-05 
 0.01475 15.596 2.008 2.939e-05 1.657e-11 1.853e-04 2.060e-03 1.335e-03 1.757e-03 1.920e-03 8.692e-04 2.894e-04 7.854e-05 
 0.01516 15.592 2.007 3.099e-05 1.654e-11 1.955e-04 2.161e-03 1.401e-03 1.843e-03 2.014e-03 9.144e-04 3.051e-04 8.295e-05 
 0.01557 15.588 2.007 3.264e-05 1.651e-11 2.058e-04 2.264e-03 1.468e-03 1.931e-03 2.110e-03 9.605e-04 3.211e-04 8.748e-05 
 0.01598 15.583 2.007 3.432e-05 1.647e-11 2.165e-04 2.367e-03 1.536e-03 2.020e-03 2.206e-03 1.007e-03 3.375e-04 9.213e-05 
 0.01639 15.579 2.006 3.604e-05 1.644e-11 2.274e-04 2.472e-03 1.604e-03 2.110e-03 2.304e-03 1.055e-03 3.542e-04 9.691e-05 
 0.01680 15.574 2.006 3.781e-05 1.640e-11 2.385e-04 2.578e-03 1.673e-03 2.201e-03 2.403e-03 1.104e-03 3.713e-04 1.018e-04 
 0.01721 15.570 2.006 3.961e-05 1.637e-11 2.499e-04 2.685e-03 1.743e-03 2.293e-03 2.503e-03 1.153e-03 3.888e-04 1.068e-04 
 0.01762 15.565 2.005 4.145e-05 1.633e-11 2.615e-04 2.793e-03 1.813e-03 2.385e-03 2.603e-03 1.203e-03 4.066e-04 1.120e-04 
 0.01803 15.560 2.005 4.333e-05 1.629e-11 2.734e-04 2.901e-03 1.884e-03 2.478e-03 2.704e-03 1.254e-03 4.248e-04 1.173e-04 
 0.01844 15.555 2.005 4.525e-05 1.626e-11 2.856e-04 3.010e-03 1.956e-03 2.572e-03 2.806e-03 1.306e-03 4.434e-04 1.227e-04 
 0.01885 15.550 2.004 4.720e-05 1.622e-11 2.979e-04 3.120e-03 2.028e-03 2.667e-03 2.908e-03 1.358e-03 4.622e-04 1.282e-04 
 0.01926 15.545 2.004 4.920e-05 1.618e-11 3.105e-04 3.230e-03 2.100e-03 2.762e-03 3.011e-03 1.411e-03 4.814e-04 1.338e-04 
 0.01967 15.540 2.004 5.123e-05 1.614e-11 3.234e-04 3.341e-03 2.172e-03 2.857e-03 3.114e-03 1.464e-03 5.010e-04 1.396e-04 
 0.02008 15.535 2.003 5.330e-05 1.609e-11 3.365e-04 3.451e-03 2.245e-03 2.953e-03 3.218e-03 1.519e-03 5.208e-04 1.455e-04 
 0.02049 15.529 2.003 5.540e-05 1.605e-11 3.498e-04 3.562e-03 2.318e-03 3.049e-03 3.321e-03 1.573e-03 5.410e-04 1.516e-04 
 0.02090 15.524 2.003 5.755e-05 1.601e-11 3.633e-04 3.673e-03 2.391e-03 3.145e-03 3.425e-03 1.628e-03 5.615e-04 1.577e-04 
 0.02131 15.518 2.002 5.972e-05 1.596e-11 3.771e-04 3.784e-03 2.464e-03 3.241e-03 3.528e-03 1.684e-03 5.824e-04 1.640e-04 
 0.02172 15.512 2.002 6.194e-05 1.592e-11 3.911e-04 3.895e-03 2.537e-03 3.337e-03 3.632e-03 1.740e-03 6.035e-04 1.704e-04 
 0.02213 15.506 2.001 6.419e-05 1.587e-11 4.054e-04 4.005e-03 2.610e-03 3.433e-03 3.735e-03 1.797e-03 6.249e-04 1.770e-04 
 0.02254 15.500 2.001 6.648e-05 1.583e-11 4.198e-04 4.116e-03 2.683e-03 3.529e-03 3.838e-03 1.854e-03 6.466e-04 1.836e-04 
 0.02295 15.494 2.000 6.880e-05 1.578e-11 4.345e-04 4.225e-03 2.756e-03 3.625e-03 3.941e-03 1.912e-03 6.687e-04 1.904e-04 
 0.02336 15.488 2.000 7.116e-05 1.573e-11 4.494e-04 4.334e-03 2.828e-03 3.720e-03 4.043e-03 1.969e-03 6.910e-04 1.973e-04 
 0.02377 15.482 2.000 7.355e-05 1.568e-11 4.645e-04 4.443e-03 2.901e-03 3.815e-03 4.145e-03 2.027e-03 7.136e-04 2.044e-04 
 0.02418 15.475 1.999 7.597e-05 1.563e-11 4.798e-04 4.551e-03 2.972e-03 3.910e-03 4.246e-03 2.086e-03 7.364e-04 2.116e-04 
 0.02459 15.469 1.999 7.843e-05 1.558e-11 4.954e-04 4.658e-03 3.044e-03 4.004e-03 4.346e-03 2.145e-03 7.596e-04 2.189e-04 
 0.02500 15.462 1.998 8.093e-05 1.553e-11 5.111e-04 4.764e-03 3.115e-03 4.097e-03 4.446e-03 2.204e-03 7.830e-04 2.263e-04 
 0.02541 15.456 1.998 8.345e-05 1.548e-11 5.271e-04 4.869e-03 3.185e-03 4.190e-03 4.544e-03 2.263e-03 8.066e-04 2.339e-04 
 0.02582 15.449 1.997 8.601e-05 1.542e-11 5.433e-04 4.973e-03 3.255e-03 4.282e-03 4.642e-03 2.322e-03 8.306e-04 2.416e-04 
 0.02623 15.442 1.997 8.860e-05 1.537e-11 5.596e-04 5.076e-03 3.324e-03 4.373e-03 4.739e-03 2.381e-03 8.547e-04 2.494e-04 
 0.02664 15.435 1.996 9.123e-05 1.532e-11 5.762e-04 5.177e-03 3.393e-03 4.463e-03 4.834e-03 2.441e-03 8.791e-04 2.573e-04 
 0.02705 15.428 1.996 9.388e-05 1.526e-11 5.929e-04 5.277e-03 3.461e-03 4.552e-03 4.928e-03 2.501e-03 9.038e-04 2.654e-04 
 0.02746 15.421 1.995 9.657e-05 1.520e-11 6.099e-04 5.376e-03 3.528e-03 4.640e-03 5.022e-03 2.560e-03 9.286e-04 2.736e-04 
 0.02787 15.414 1.995 9.929e-05 1.515e-11 6.270e-04 5.474e-03 3.594e-03 4.727e-03 5.113e-03 2.620e-03 9.537e-04 2.819e-04 
 0.02828 15.406 1.994 1.020e-04 1.509e-11 6.444e-04 5.569e-03 3.659e-03 4.813e-03 5.204e-03 2.679e-03 9.790e-04 2.904e-04 
 0.02869 15.399 1.994 1.048e-04 1.503e-11 6.619e-04 5.663e-03 3.723e-03 4.898e-03 5.293e-03 2.739e-03 1.005e-03 2.990e-04 
 0.02910 15.391 1.993 1.076e-04 1.497e-11 6.796e-04 5.756e-03 3.787e-03 4.981e-03 5.380e-03 2.799e-03 1.030e-03 3.077e-04 
 0.02951 15.384 1.993 1.105e-04 1.491e-11 6.974e-04 5.846e-03 3.849e-03 5.063e-03 5.466e-03 2.858e-03 1.056e-03 3.165e-04 
 0.02992 15.376 1.992 1.133e-04 1.485e-11 7.155e-04 5.935e-03 3.911e-03 5.144e-03 5.550e-03 2.917e-03 1.082e-03 3.255e-04 
 0.03033 15.368 1.992 1.162e-04 1.479e-11 7.337e-04 6.021e-03 3.971e-03 5.223e-03 5.633e-03 2.977e-03 1.109e-03 3.346e-04 
 0.03074 15.360 1.991 1.192e-04 1.473e-11 7.521e-04 6.106e-03 4.030e-03 5.301e-03 5.713e-03 3.036e-03 1.135e-03 3.438e-04 
 0.03115 15.352 1.991 1.221e-04 1.467e-11 7.707e-04 6.189e-03 4.088e-03 5.378e-03 5.792e-03 3.094e-03 1.162e-03 3.532e-04 
 0.03156 15.344 1.990 1.251e-04 1.460e-11 7.893e-04 6.269e-03 4.145e-03 5.452e-03 5.869e-03 3.153e-03 1.189e-03 3.626e-04 
 0.03197 15.336 1.989 1.281e-04 1.454e-11 8.082e-04 6.348e-03 4.200e-03 5.525e-03 5.944e-03 3.211e-03 1.216e-03 3.722e-04 
 0.03238 15.327 1.989 1.312e-04 1.447e-11 8.273e-04 6.424e-03 4.255e-03 5.597e-03 6.017e-03 3.269e-03 1.243e-03 3.820e-04 
 0.03279 15.319 1.988 1.342e-04 1.441e-11 8.465e-04 6.498e-03 4.308e-03 5.666e-03 6.089e-03 3.326e-03 1.270e-03 3.918e-04 
 0.03320 15.311 1.988 1.373e-04 1.434e-11 8.658e-04 6.569e-03 4.359e-03 5.734e-03 6.158e-03 3.384e-03 1.297e-03 4.018e-04 
 0.03361 15.302 1.987 1.404e-04 1.427e-11 8.853e-04 6.638e-03 4.410e-03 5.800e-03 6.225e-03 3.440e-03 1.325e-03 4.119e-04 
 0.03402 15.293 1.986 1.436e-04 1.421e-11 9.048e-04 6.705e-03 4.458e-03 5.864e-03 6.289e-03 3.497e-03 1.353e-03 4.221e-04 
 0.03443 15.285 1.986 1.468e-04 1.414e-11 9.246e-04 6.770e-03 4.506e-03 5.927e-03 6.352e-03 3.553e-03 1.380e-03 4.325e-04 
 0.03484 15.276 1.985 1.500e-04 1.407e-11 9.445e-04 6.831e-03 4.552e-03 5.988e-03 6.413e-03 3.608e-03 1.408e-03 4.429e-04 
 0.03525 15.267 1.985 1.532e-04 1.400e-11 9.645e-04 6.891e-03 4.596e-03 6.046e-03 6.471e-03 3.663e-03 1.436e-03 4.535e-04 
 0.03566 15.258 1.984 1.564e-04 1.393e-11 9.847e-04 6.947e-03 4.640e-03 6.103e-03 6.527e-03 3.717e-03 1.464e-03 4.642e-04 
 0.03607 15.249 1.983 1.597e-04 1.386e-11 1.005e-03 7.002e-03 4.681e-03 6.158e-03 6.581e-03 3.771e-03 1.493e-03 4.751e-04 
 0.03648 15.240 1.983 1.630e-04 1.379e-11 1.025e-03 7.053e-03 4.721e-03 6.211e-03 6.632e-03 3.825e-03 1.521e-03 4.860e-04 
 0.03689 15.230 1.982 1.663e-04 1.372e-11 1.046e-03 7.102e-03 4.760e-03 6.261e-03 6.681e-03 3.877e-03 1.549e-03 4.971e-04 
 0.03730 15.221 1.981 1.696e-04 1.364e-11 1.066e-03 7.148e-03 4.797e-03 6.310e-03 6.728e-03 3.929e-03 1.578e-03 5.082e-04 
 0.03770 15.212 1.981 1.730e-04 1.357e-11 1.087e-03 7.192e-03 4.832e-03 6.356e-03 6.772e-03 3.981e-03 1.606e-03 5.195e-04 
 0.03811 15.202 1.980 1.764e-04 1.350e-11 1.108e-03 7.233e-03 4.866e-03 6.400e-03 6.814e-03 4.031e-03 1.634e-03 5.309e-04 
 0.03852 15.192 1.979 1.798e-04 1.342e-11 1.129e-03 7.272e-03 4.898e-03 6.443e-03 6.854e-03 4.082e-03 1.663e-03 5.425e-04 
 0.03893 15.183 1.979 1.832e-04 1.335e-11 1.150e-03 7.307e-03 4.929e-03 6.483e-03 6.891e-03 4.131e-03 1.692e-03 5.541e-04 
 0.03934 15.173 1.978 1.867e-04 1.327e-11 1.171e-03 7.340e-03 4.958e-03 6.522e-03 6.926e-03 4.179e-03 1.720e-03 5.659e-04 
 0.03975 15.163 1.977 1.901e-04 1.320e-11 1.192e-03 7.370e-03 4.986e-03 6.558e-03 6.959e-03 4.227e-03 1.749e-03 5.778e-04 
 0.04016 15.153 1.977 1.936e-04 1.312e-11 1.214e-03 7.398e-03 5.011e-03 6.592e-03 6.989e-03 4.274e-03 1.778e-03 5.898e-04 
 0.04057 15.143 1.976 1.971e-04 1.304e-11 1.235e-03 7.423e-03 5.036e-03 6.624e-03 7.017e-03 4.321e-03 1.807e-03 6.019e-04 
 0.04098 15.133 1.975 2.007e-04 1.297e-11 1.256e-03 7.445e-03 5.058e-03 6.654e-03 7.042e-03 4.366e-03 1.835e-03 6.141e-04 
 0.04139 15.123 1.974 2.042e-04 1.289e-11 1.278e-03 7.464e-03 5.080e-03 6.682e-03 7.065e-03 4.411e-03 1.864e-03 6.264e-04 
 0.04180 15.113 1.974 2.078e-04 1.281e-11 1.300e-03 7.481e-03 5.099e-03 6.707e-03 7.085e-03 4.455e-03 1.893e-03 6.389e-04 
 0.04221 15.102 1.973 2.114e-04 1.273e-11 1.321e-03 7.495e-03 5.117e-03 6.730e-03 7.103e-03 4.498e-03 1.921e-03 6.514e-04 
