# Distribution of neutrino fluxes in the B16(GS98) standard solar model model.
#
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass
# 5) Fraction of pp neutrinos produced in the zone
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2))

0.0125 15.548 2.001  2.57949250e-05  3.26306611e-01  5.10893248e-01  1.36955266e-01  1.54568175e+00  3.71316530e+00  2.35509965e+00  3.19078698e+00  3.46282679e+00  
0.0130 15.544 2.001  2.78290881e-05  3.52076136e-01  5.50902853e-01  1.47985721e-01  1.66340969e+00  3.98459720e+00  2.52754327e+00  3.42442104e+00  3.71583682e+00  
0.0135 15.539 2.000  2.99412950e-05  3.78838665e-01  5.92402302e-01  1.59474495e-01  1.78501333e+00  4.26323342e+00  2.70462104e+00  3.66433342e+00  3.97555285e+00  
0.0140 15.535 2.000  3.21111111e-05  4.06337222e-01  6.34984209e-01  1.71316115e-01  1.90920281e+00  4.54583293e+00  2.88428869e+00  3.90775466e+00  4.23896008e+00  
0.0145 15.530 2.000  3.43703941e-05  4.34972512e-01  6.79269290e-01  1.83684337e-01  2.03780757e+00  4.83659733e+00  3.06921842e+00  4.15830552e+00  4.50997717e+00  
0.0150 15.525 1.999  3.67145076e-05  4.64689188e-01  7.25164524e-01  1.96558521e-01  2.17046766e+00  5.13448352e+00  3.25875988e+00  4.41510432e+00  4.78763458e+00  
0.0155 15.520 1.999  3.90918758e-05  4.94831061e-01  7.71639821e-01  2.09666676e-01  2.30406377e+00  5.43195043e+00  3.44813449e+00  4.67167762e+00  5.06490282e+00  
0.0160 15.515 1.999  4.16037365e-05  5.26681391e-01  8.20690612e-01  2.23555589e-01  2.44449272e+00  5.74274604e+00  3.64607718e+00  4.93985869e+00  5.35460107e+00  
0.0165 15.510 1.998  4.41064185e-05  5.58421990e-01  8.69476232e-01  2.37457494e-01  2.58321333e+00  6.04660417e+00  3.83974147e+00  5.20224385e+00  5.63784886e+00  
0.0170 15.504 1.998  4.67563405e-05  5.92033497e-01  9.21076011e-01  2.52218140e-01  2.72933748e+00  6.36474236e+00  4.04260024e+00  5.47708603e+00  5.93441991e+00  
